20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-132248,INFO,427,24.4,74.5
20200522-132317,INFO,428,24.4,72.3
20200522-132346,INFO,429,24.3,73.1
20200522-132415,INFO,430,24.4,73.1
20200522-132513,INFO,431,24.3,71.0
20200522-132542,INFO,432,24.3,71.0
20200522-132611,INFO,433,24.2,71.4
20200522-132710,INFO,434,24.3,72.1
20200522-132739,INFO,435,24.3,71.6
20200522-132837,INFO,436,24.4,71.8
20200522-132906,INFO,437,24.3,71.4
20200522-132935,INFO,438,24.3,69.9
20200522-133004,INFO,439,24.4,71.1
20200522-133033,INFO,440,24.4,71.5
20200522-133102,INFO,441,24.5,73.7
20200522-133131,INFO,442,24.5,70.4
20200522-133229,INFO,443,24.6,70.5
20200522-133258,INFO,444,24.6,69.0
20200522-133356,INFO,445,24.6,68.7
20200522-133425,INFO,446,24.6,69.1
20200522-133454,INFO,447,24.6,69.8
20200522-133553,INFO,448,24.6,71.8
20200522-133622,INFO,449,24.6,74.5
20200522-133651,INFO,450,24.6,72.0
20200522-133720,INFO,451,24.6,69.0
20200522-133749,INFO,452,24.6,67.1
20200522-133818,INFO,453,24.6,66.6
20200522-133847,INFO,454,24.6,66.5
20200522-133916,INFO,455,24.6,67.1
20200522-133945,INFO,456,24.6,68.5
20200522-134014,INFO,457,24.6,69.7
20200522-134043,INFO,458,24.6,70.0
20200522-134112,INFO,459,24.6,69.3
20200522-134141,INFO,460,24.6,70.2
20200522-134210,INFO,461,24.6,69.3
20200522-134239,INFO,462,24.6,70.2
20200522-134308,INFO,463,24.6,69.5
20200522-134338,INFO,464,24.7,67.9
20200522-134407,INFO,465,24.7,68.1
20200522-134436,INFO,466,24.7,68.4
20200522-134505,INFO,467,24.8,68.1
20200522-134534,INFO,468,24.8,69.2
20200522-134603,INFO,469,24.8,68.7
20200522-134632,INFO,470,24.8,68.1
20200522-134701,INFO,471,24.8,64.0
20200522-134828,INFO,472,24.9,63.1
20200522-134857,INFO,473,24.9,63.2
20200522-134926,INFO,474,24.9,63.5
20200522-134955,INFO,475,25.0,66.4
20200522-135024,INFO,476,25.0,66.2
20200522-135053,INFO,477,25.0,66.6
20200522-135122,INFO,478,25.0,66.9
20200522-135152,INFO,479,25.1,66.7
20200522-135250,INFO,480,25.1,65.7
20200522-135319,INFO,481,25.1,65.1
20200522-135348,INFO,482,25.1,66.2
20200522-135417,INFO,483,25.1,65.3
20200522-135446,INFO,484,25.1,65.1
20200522-135515,INFO,485,25.1,66.0
20200522-135544,INFO,486,25.2,65.0
20200522-135613,INFO,487,25.2,64.1
20200522-135642,INFO,488,25.1,64.8
20200522-135711,INFO,489,25.2,65.8
20200522-135740,INFO,490,25.2,65.5
20200522-135809,INFO,491,25.2,65.6
20200522-135838,INFO,492,25.2,65.8
20200522-135907,INFO,493,25.2,66.0
20200522-135936,INFO,494,25.2,67.0
20200522-140005,INFO,495,25.2,66.7
20200522-140035,INFO,496,25.3,66.8
20200522-140104,INFO,497,25.3,66.0
20200522-140133,INFO,498,25.3,66.7
20200522-140202,INFO,499,25.3,66.0
20200522-140231,INFO,500,25.2,65.0
20200522-140300,INFO,501,25.2,64.9
20200522-140329,INFO,502,25.2,64.7
20200522-140358,INFO,503,25.2,64.4
20200522-140427,INFO,504,25.1,66.4
20200522-140456,INFO,505,25.2,67.8
20200522-140525,INFO,506,25.1,68.2
20200522-140554,INFO,507,25.1,68.2
20200522-140623,INFO,508,25.1,66.8
20200522-140652,INFO,509,25.1,67.6
20200522-140721,INFO,510,25.1,67.6
20200522-140750,INFO,511,25.0,68.3
20200522-140819,INFO,512,25.1,68.9
20200522-140918,INFO,513,25.0,70.2
20200522-141016,INFO,514,25.0,72.9
20200522-141045,INFO,515,25.0,72.2
20200522-141114,INFO,516,25.1,71.5
20200522-141143,INFO,517,25.1,71.7
20200522-141212,INFO,518,25.1,70.9
20200522-141241,INFO,519,25.1,71.9
20200522-141310,INFO,520,25.2,73.0
20200522-141339,INFO,521,25.3,71.1
20200522-141408,INFO,522,25.3,71.9
20200522-141437,INFO,523,25.3,72.6
20200522-141506,INFO,524,25.3,72.2
20200522-141535,INFO,525,25.3,72.2
20200522-141604,INFO,526,25.3,73.2
20200522-141702,INFO,527,25.4,73.5
20200522-141732,INFO,528,25.4,73.2
20200522-141801,INFO,529,25.5,73.9
20200522-141830,INFO,530,25.5,73.8
20200522-141859,INFO,531,25.5,72.8
20200522-141928,INFO,532,25.5,73.1
20200522-141957,INFO,533,25.5,73.2
20200522-142026,INFO,534,25.5,72.3
20200522-142055,INFO,535,25.5,73.2
20200522-142153,INFO,536,25.5,73.5
20200522-142222,INFO,537,25.5,73.4
20200522-142251,INFO,538,25.4,74.5
20200522-142320,INFO,539,25.5,73.9
20200522-142349,INFO,540,25.5,73.6
20200522-142418,INFO,541,25.5,73.4
20200522-142447,INFO,542,25.5,73.7
20200522-142516,INFO,543,25.5,73.7
20200522-142546,INFO,544,25.5,74.2
20200522-142615,INFO,545,25.5,74.5
20200522-142644,INFO,546,25.5,74.9
20200522-142713,INFO,547,25.5,74.8
20200522-142742,INFO,548,25.5,74.5
20200522-142811,INFO,549,25.5,74.6
20200522-142840,INFO,550,25.5,74.4
20200522-142909,INFO,551,25.5,74.1
20200522-142938,INFO,552,25.5,74.0
20200522-143007,INFO,553,25.5,72.8
20200522-143105,INFO,554,25.5,75.1
20200522-143203,INFO,555,25.5,75.3
20200522-143232,INFO,556,25.5,75.0
20200522-143301,INFO,557,25.5,74.8
20200522-143330,INFO,558,25.4,75.3
20200522-143359,INFO,559,25.3,76.1
20200522-143429,INFO,560,25.3,76.2
20200522-143458,INFO,561,25.3,75.7
20200522-143527,INFO,562,25.2,75.1
20200522-143556,INFO,563,25.2,75.8
20200522-143625,INFO,564,25.2,76.6
20200522-143723,INFO,565,25.2,73.7
20200522-143752,INFO,566,25.2,74.7
20200522-143821,INFO,567,25.2,76.2
20200522-143948,INFO,568,25.1,76.9
20200522-144017,INFO,569,25.2,77.2
20200522-144046,INFO,570,25.2,77.3
20200522-144115,INFO,571,25.2,77.0
20200522-144213,INFO,572,25.3,75.1
20200522-144243,INFO,573,25.3,76.6
20200522-144312,INFO,574,25.3,77.0
20200522-144341,INFO,575,25.2,78.3
20200522-144439,INFO,576,25.2,79.1
20200522-144508,INFO,577,25.1,78.8
20200522-144537,INFO,578,25.2,79.8
20200522-144606,INFO,579,25.2,80.1
20200522-144635,INFO,580,25.2,80.1
20200522-144704,INFO,581,25.2,78.3
20200522-144733,INFO,582,25.3,80.2
20200522-144802,INFO,583,25.3,76.8
20200522-144831,INFO,584,25.3,78.6
20200522-144900,INFO,585,25.3,79.4
20200522-144929,INFO,586,25.3,79.0
20200522-144958,INFO,587,25.3,78.4
20200522-145027,INFO,588,25.3,79.0
20200522-145057,INFO,589,25.3,79.2
20200522-145126,INFO,590,25.3,79.5
20200522-145155,INFO,591,25.3,78.9
20200522-145224,INFO,592,25.2,78.4
20200522-145253,INFO,593,25.2,78.8
20200522-145322,INFO,594,25.2,79.5
20200522-145351,INFO,595,25.3,77.4
20200522-145420,INFO,596,25.3,78.4
20200522-145449,INFO,597,25.3,76.6
20200522-145518,INFO,598,25.3,75.5
20200522-145547,INFO,599,25.2,75.3
20200522-145616,INFO,600,25.2,75.6
20200522-145645,INFO,601,25.2,75.7
20200522-145714,INFO,602,25.3,74.6
20200522-145743,INFO,603,25.2,75.0
20200522-145812,INFO,604,25.2,74.7
20200522-145841,INFO,605,25.2,75.4
20200522-145940,INFO,606,25.1,74.9
20200522-150009,INFO,607,25.0,75.2
20200522-150136,INFO,608,25.0,75.8
20200522-150205,INFO,609,25.0,75.8
20200522-150234,INFO,610,25.0,74.6
20200522-150303,INFO,611,25.0,76.8
20200522-150401,INFO,612,25.0,75.6
20200522-150430,INFO,613,25.0,76.2
20200522-150459,INFO,614,25.0,76.1
20200522-150528,INFO,615,25.0,76.0
20200522-150557,INFO,616,25.0,76.6
20200522-150626,INFO,617,25.1,76.6
20200522-150655,INFO,618,25.1,74.0
20200522-150724,INFO,619,25.1,74.8
20200522-150754,INFO,620,25.2,75.9
20200522-150823,INFO,621,25.2,75.8
20200522-150921,INFO,622,25.3,74.6
20200522-150950,INFO,623,25.2,75.0
20200522-151019,INFO,624,25.2,75.5
20200522-151048,INFO,625,25.3,75.7
20200522-151117,INFO,626,25.3,76.1
20200522-151146,INFO,627,25.3,74.5
20200522-151215,INFO,628,25.3,75.5
20200522-151244,INFO,629,25.3,75.1
20200522-151313,INFO,630,25.3,75.0
20200522-151342,INFO,631,25.3,74.6
20200522-151411,INFO,632,25.3,74.9
20200522-151509,INFO,633,25.3,75.3
20200522-151538,INFO,634,25.3,73.7
20200522-151607,INFO,635,25.3,75.1
20200522-151637,INFO,636,25.3,75.7
20200522-151706,INFO,637,25.4,75.0
20200522-151735,INFO,638,25.4,73.3
20200522-151804,INFO,639,25.4,72.2
20200522-151833,INFO,640,25.4,73.0
20200522-151902,INFO,641,25.5,70.9
20200522-151931,INFO,642,25.5,71.4
20200522-152000,INFO,643,25.5,71.0
20200522-152029,INFO,644,25.5,71.6
20200522-152058,INFO,645,25.5,72.8
20200522-152127,INFO,646,25.5,72.6
20200522-152156,INFO,647,25.5,72.8
20200522-152225,INFO,648,25.6,71.7
20200522-152254,INFO,649,25.6,70.6
20200522-152323,INFO,650,25.6,70.2
20200522-152421,INFO,651,25.6,70.6
20200522-152451,INFO,652,25.7,68.7
20200522-152520,INFO,653,25.7,68.4
20200522-152549,INFO,654,25.6,69.2
20200522-152618,INFO,655,25.6,69.4
20200522-152647,INFO,656,25.7,70.0
